dia_ocu,mes_ocu,hora_ocu,depto_ocu,mupio_ocu,año_ocu,numero_vehiculos_involucrados,fallecidos,lesionados,severidad
1.0,1,0.0,1,101,2013.0,1.0,1.0,0.0,Moderado
1.0,1,0.0,1,101,2013.0,1.0,1.0,0.0,Moderado
1.0,1,0.0,1,101,2019.0,2.0,1.0,1.0,Moderado
1.0,1,0.0,1,101,2019.0,2.0,1.0,1.0,Moderado
1.0,1,0.0,1,103,2015.0,1.0,1.0,0.0,Moderado
1.0,1,0.0,1,103,2015.0,1.0,1.0,0.0,Moderado
1.0,1,0.0,2,207,2022.0,1.0,1.0,0.0,Moderado
1.0,1,0.0,2,207,2022.0,1.0,1.0,0.0,Moderado
1.0,1,0.0,3,301,2019.0,1.0,1.0,0.0,Moderado
1.0,1,0.0,5,502,2013.0,1.0,1.0,0.0,Moderado
1.0,1,0.0,6,613,2019.0,1.0,1.0,0.0,Moderado
1.0,1,0.0,6,613,2019.0,1.0,1.0,0.0,Moderado
1.0,1,0.0,11,1103,2021.0,1.0,1.0,0.0,Moderado
1.0,1,0.0,17,1708,2019.0,1.0,1.0,0.0,Moderado
1.0,1,0.0,19,1901,2013.0,1.0,1.0,1.0,Moderado
1.0,1,0.0,19,1901,2013.0,1.0,1.0,1.0,Moderado
1.0,1,0.0,19,1901,2013.0,1.0,1.0,1.0,Moderado
1.0,1,1.0,1,101,2022.0,1.0,0.0,2.0,Moderado
1.0,1,1.0,1,101,2023.0,1.0,0.0,2.0,Moderado
1.0,1,1.0,1,115,2015.0,1.0,1.0,0.0,Moderado
1.0,1,1.0,2,201,2020.0,1.0,0.0,2.0,Moderado
1.0,1,1.0,2,201,2020.0,1.0,0.0,2.0,Moderado
1.0,1,1.0,5,506,2019.0,1.0,0.0,2.0,Moderado
1.0,1,1.0,12,1227,2019.0,1.0,0.0,3.0,Moderado
1.0,1,1.0,18,1801,2020.0,1.0,1.0,0.0,Moderado
1.0,1,2.0,1,110,2017.0,1.0,1.0,2.0,Moderado
1.0,1,2.0,1,115,2021.0,1.0,1.0,0.0,Moderado
1.0,1,2.0,3,308,2013.0,1.0,1.0,0.0,Moderado
1.0,1,2.0,3,308,2013.0,1.0,1.0,0.0,Moderado
1.0,1,2.0,4,401,2021.0,1.0,0.0,2.0,Moderado
1.0,1,2.0,5,502,2018.0,1.0,1.0,1.0,Moderado
1.0,1,2.0,5,507,2023.0,1.0,1.0,1.0,Moderado
1.0,1,2.0,5,507,2023.0,1.0,1.0,1.0,Moderado
1.0,1,2.0,11,1106,2020.0,1.0,1.0,0.0,Moderado
1.0,1,2.0,11,1106,2020.0,1.0,1.0,0.0,Moderado
1.0,1,2.0,17,1713,2019.0,1.0,0.0,4.0,Moderado
1.0,1,3.0,10,1001,2015.0,1.0,1.0,0.0,Moderado
1.0,1,3.0,10,1001,2015.0,1.0,1.0,0.0,Moderado
1.0,1,3.0,12,1230,2019.0,1.0,1.0,0.0,Moderado
1.0,1,3.0,12,1230,2019.0,1.0,1.0,0.0,Moderado
1.0,1,3.0,18,1801,2013.0,1.0,0.0,2.0,Moderado
1.0,1,3.0,20,2001,2016.0,1.0,1.0,0.0,Moderado
1.0,1,3.0,20,2001,2016.0,1.0,1.0,0.0,Moderado
1.0,1,4.0,1,115,2019.0,1.0,0.0,2.0,Moderado
1.0,1,4.0,3,301,2013.0,1.0,1.0,0.0,Moderado
1.0,1,4.0,3,301,2013.0,1.0,1.0,0.0,Moderado
1.0,1,4.0,18,1801,2019.0,1.0,0.0,2.0,Moderado
1.0,1,4.0,18,1801,2019.0,1.0,0.0,2.0,Moderado
1.0,1,4.0,21,2106,2016.0,1.0,0.0,2.0,Moderado
1.0,1,4.0,21,2106,2016.0,1.0,0.0,2.0,Moderado
1.0,1,5.0,1,101,2013.0,1.0,0.0,3.0,Moderado
1.0,1,5.0,1,101,2013.0,1.0,0.0,3.0,Moderado
1.0,1,5.0,1,101,2021.0,1.0,1.0,0.0,Moderado
1.0,1,5.0,1,101,2021.0,1.0,1.0,0.0,Moderado
1.0,1,5.0,1,115,2022.0,1.0,2.0,2.0,Moderado
1.0,1,5.0,1,115,2022.0,1.0,2.0,2.0,Moderado
