dia_ocu,mes_ocu,año_ocu,hora_ocu,depto_ocu,mupio_ocu,tipo_veh,color_veh,modelo_veh,tipo_accidente,marca_veh
8.0,1.0,2013,12.0,19.0,1901.0,14.0,99.0,9999.0,3.0,99.0
8.0,1.0,2013,11.0,1.0,117.0,5.0,2.0,9999.0,1.0,22.0
8.0,1.0,2013,6.0,4.0,416.0,3.0,3.0,9999.0,1.0,44.0
8.0,1.0,2013,17.0,19.0,1908.0,14.0,1.0,9999.0,1.0,2.0
8.0,1.0,2013,19.0,12.0,1222.0,3.0,9.0,9999.0,2.0,44.0
9.0,1.0,2013,7.0,1.0,101.0,12.0,99.0,9999.0,1.0,22.0
9.0,1.0,2013,8.0,7.0,704.0,9.0,2.0,9999.0,3.0,44.0
10.0,1.0,2013,8.0,1.0,101.0,3.0,1.0,1984.0,1.0,5.0
10.0,1.0,2013,15.0,1.0,101.0,2.0,3.0,9999.0,1.0,34.0
10.0,1.0,2013,11.0,20.0,2004.0,3.0,6.0,9999.0,3.0,34.0
10.0,1.0,2013,7.0,6.0,601.0,9.0,4.0,2009.0,1.0,34.0
10.0,1.0,2013,20.0,10.0,1001.0,1.0,2.0,1999.0,1.0,34.0
10.0,1.0,2013,20.0,10.0,1001.0,4.0,5.0,9999.0,3.0,2.0
10.0,1.0,2013,14.0,12.0,1202.0,9.0,99.0,2009.0,1.0,44.0
10.0,1.0,2013,4.0,16.0,1609.0,1.0,2.0,2007.0,1.0,34.0
10.0,1.0,2013,20.0,14.0,1401.0,3.0,8.0,1981.0,2.0,44.0
10.0,1.0,2013,5.0,4.0,401.0,4.0,1.0,9999.0,2.0,2.0
11.0,1.0,2013,9.0,1.0,101.0,1.0,4.0,9999.0,1.0,34.0
11.0,1.0,2013,7.0,1.0,102.0,5.0,2.0,9999.0,1.0,13.0
11.0,1.0,2013,1.0,1.0,101.0,1.0,4.0,9999.0,2.0,21.0
11.0,1.0,2013,19.0,1.0,115.0,3.0,1.0,9999.0,1.0,44.0
11.0,1.0,2013,18.0,5.0,509.0,4.0,9.0,9999.0,1.0,2.0
11.0,1.0,2013,8.0,10.0,1002.0,1.0,6.0,1996.0,1.0,44.0
11.0,1.0,2013,4.0,12.0,1201.0,3.0,2.0,1997.0,2.0,34.0
11.0,1.0,2013,5.0,16.0,1613.0,5.0,99.0,9999.0,1.0,99.0
11.0,1.0,2013,16.0,18.0,1805.0,5.0,5.0,9999.0,2.0,13.0
11.0,1.0,2013,16.0,18.0,1801.0,1.0,1.0,2000.0,1.0,32.0
11.0,1.0,2013,19.0,7.0,706.0,1.0,2.0,9999.0,1.0,5.0
12.0,1.0,2013,23.0,1.0,101.0,1.0,4.0,1999.0,1.0,37.0
12.0,1.0,2013,1.0,1.0,101.0,1.0,5.0,1993.0,2.0,17.0
12.0,1.0,2013,21.0,1.0,101.0,12.0,2.0,9999.0,1.0,99.0
12.0,1.0,2013,9.0,1.0,101.0,4.0,99.0,9999.0,1.0,99.0
12.0,1.0,2013,18.0,1.0,107.0,4.0,99.0,9999.0,3.0,99.0
12.0,1.0,2013,21.0,1.0,101.0,99.0,99.0,9999.0,1.0,99.0
12.0,1.0,2013,2.0,1.0,101.0,1.0,11.0,9999.0,1.0,44.0
12.0,1.0,2013,23.0,1.0,101.0,1.0,1.0,9999.0,1.0,44.0
