dia_ocu,mes_ocu,hora_ocu,depto_ocu,mupio_ocu,año_ocu,numero_vehiculos_involucrados,fallecidos_lesionados
15.0,1.0,15.0,16.0,1601.0,2013,1,1
15.0,1.0,16.0,13.0,1301.0,2013,1,1
15.0,1.0,16.0,6.0,608.0,2013,1,1
15.0,1.0,17.0,1.0,101.0,2013,1,0
15.0,1.0,17.0,20.0,2001.0,2013,1,4
15.0,1.0,19.0,16.0,1601.0,2013,1,1
15.0,1.0,19.0,16.0,1602.0,2013,1,3
15.0,1.0,19.0,8.0,801.0,2013,1,1
15.0,1.0,2.0,1.0,116.0,2013,1,1
15.0,1.0,2.0,16.0,1601.0,2013,1,0
15.0,1.0,21.0,21.0,2101.0,2013,1,3
15.0,1.0,21.0,7.0,701.0,2013,1,1
15.0,1.0,4.0,1.0,101.0,2013,1,15
16.0,1.0,0.0,8.0,803.0,2013,1,1
16.0,1.0,1.0,1.0,101.0,2013,1,2
16.0,1.0,11.0,2.0,203.0,2013,1,0
16.0,1.0,13.0,1.0,101.0,2013,1,1
16.0,1.0,14.0,10.0,1018.0,2013,1,1
16.0,1.0,15.0,5.0,507.0,2013,1,1
16.0,1.0,16.0,1.0,101.0,2013,1,1
16.0,1.0,19.0,16.0,1601.0,2013,1,0
16.0,1.0,19.0,7.0,713.0,2013,1,1
16.0,1.0,20.0,10.0,1008.0,2013,1,1
16.0,1.0,20.0,5.0,501.0,2013,1,1
16.0,1.0,20.0,9.0,902.0,2013,1,1
16.0,1.0,4.0,1.0,101.0,2013,1,1
16.0,1.0,7.0,1.0,115.0,2013,1,1
16.0,1.0,7.0,13.0,1304.0,2013,1,1
16.0,1.0,7.0,4.0,406.0,2013,1,1
17.0,1.0,0.0,1.0,101.0,2013,1,1
17.0,1.0,0.0,1.0,108.0,2013,1,1
17.0,1.0,10.0,1.0,101.0,2013,2,2
17.0,1.0,10.0,2.0,201.0,2013,1,1
17.0,1.0,13.0,11.0,1105.0,2013,1,2
17.0,1.0,13.0,5.0,502.0,2013,1,1
17.0,1.0,15.0,1.0,102.0,2013,1,1
17.0,1.0,16.0,1.0,101.0,2013,1,1
17.0,1.0,16.0,3.0,304.0,2013,1,1
17.0,1.0,16.0,6.0,601.0,2013,1,4
17.0,1.0,17.0,12.0,1218.0,2013,1,1
17.0,1.0,18.0,3.0,308.0,2013,1,1
17.0,1.0,19.0,5.0,501.0,2013,1,2
17.0,1.0,20.0,1.0,101.0,2013,1,1
17.0,1.0,21.0,12.0,1204.0,2013,1,1
17.0,1.0,22.0,9.0,922.0,2013,1,1
17.0,1.0,8.0,16.0,1612.0,2013,1,1
17.0,1.0,8.0,19.0,1903.0,2013,1,1
18.0,1.0,12.0,14.0,1401.0,2013,1,4
18.0,1.0,13.0,13.0,1301.0,2013,1,1
18.0,1.0,14.0,9.0,901.0,2013,1,1
18.0,1.0,17.0,1.0,101.0,2013,1,1
18.0,1.0,17.0,19.0,1903.0,2013,1,1
18.0,1.0,18.0,1.0,101.0,2013,1,0
18.0,1.0,19.0,1.0,114.0,2013,1,2
18.0,1.0,19.0,9.0,922.0,2013,1,1
18.0,1.0,2.0,9.0,901.0,2013,1,1
18.0,1.0,20.0,1.0,101.0,2013,1,1
18.0,1.0,21.0,1.0,108.0,2013,1,1
18.0,1.0,21.0,5.0,502.0,2013,1,1
18.0,1.0,21.0,8.0,802.0,2013,1,3
18.0,1.0,22.0,6.0,614.0,2013,1,1
18.0,1.0,4.0,6.0,602.0,2013,1,1
19.0,1.0,1.0,1.0,115.0,2013,1,0
19.0,1.0,11.0,2.0,201.0,2013,1,3
19.0,1.0,11.0,5.0,501.0,2013,1,1
19.0,1.0,12.0,1.0,101.0,2013,1,1
19.0,1.0,13.0,5.0,502.0,2013,1,1
19.0,1.0,14.0,1.0,102.0,2013,1,1
19.0,1.0,15.0,1.0,101.0,2013,1,1
19.0,1.0,15.0,4.0,409.0,2013,1,1
19.0,1.0,16.0,1.0,101.0,2013,1,1
19.0,1.0,20.0,2.0,208.0,2013,1,2
19.0,1.0,20.0,5.0,513.0,2013,1,1
19.0,1.0,21.0,6.0,602.0,2013,1,1
19.0,1.0,22.0,7.0,706.0,2013,1,0
19.0,1.0,23.0,1.0,101.0,2013,1,1
19.0,1.0,23.0,2.0,207.0,2013,1,2
19.0,1.0,3.0,1.0,101.0,2013,1,1
19.0,1.0,8.0,1.0,101.0,2013,1,1
2.0,1.0,0.0,11.0,1107.0,2013,1,3
2.0,1.0,10.0,16.0,1608.0,2013,1,7
2.0,1.0,10.0,6.0,611.0,2013,1,8
2.0,1.0,13.0,13.0,1312.0,2013,1,1
2.0,1.0,15.0,1.0,101.0,2013,1,2
2.0,1.0,18.0,13.0,1301.0,2013,1,1
2.0,1.0,19.0,18.0,1801.0,2013,1,1
2.0,1.0,19.0,4.0,409.0,2013,1,1
2.0,1.0,20.0,18.0,1804.0,2013,1,1
2.0,1.0,22.0,1.0,101.0,2013,1,1
2.0,1.0,6.0,13.0,1301.0,2013,1,1
2.0,1.0,7.0,1.0,101.0,2013,1,2
2.0,1.0,7.0,5.0,501.0,2013,1,1
20.0,1.0,0.0,1.0,101.0,2013,1,2
20.0,1.0,0.0,9.0,904.0,2013,1,0
20.0,1.0,11.0,20.0,2007.0,2013,1,2
20.0,1.0,14.0,4.0,416.0,2013,1,1
20.0,1.0,16.0,22.0,2212.0,2013,1,0
20.0,1.0,17.0,17.0,1701.0,2013,1,1
20.0,1.0,18.0,16.0,1601.0,2013,1,1
20.0,1.0,18.0,6.0,608.0,2013,1,3
20.0,1.0,18.0,8.0,805.0,2013,1,1
20.0,1.0,19.0,1.0,106.0,2013,1,1
20.0,1.0,2.0,1.0,101.0,2013,2,3
20.0,1.0,2.0,1.0,115.0,2013,1,2
20.0,1.0,2.0,5.0,511.0,2013,1,2
20.0,1.0,22.0,6.0,611.0,2013,1,1
20.0,1.0,23.0,1.0,101.0,2013,1,0
20.0,1.0,3.0,1.0,116.0,2013,1,4
20.0,1.0,6.0,22.0,2217.0,2013,1,4
20.0,1.0,7.0,5.0,509.0,2013,1,1
21.0,1.0,0.0,1.0,101.0,2013,1,0
21.0,1.0,0.0,1.0,115.0,2013,1,1
21.0,1.0,12.0,11.0,1103.0,2013,1,2
21.0,1.0,12.0,3.0,301.0,2013,1,2
21.0,1.0,12.0,9.0,901.0,2013,1,1
21.0,1.0,14.0,1.0,117.0,2013,1,1
21.0,1.0,14.0,10.0,1010.0,2013,1,1
21.0,1.0,15.0,1.0,101.0,2013,1,1
21.0,1.0,16.0,1.0,101.0,2013,1,1
21.0,1.0,16.0,12.0,1201.0,2013,1,0
21.0,1.0,17.0,5.0,508.0,2013,1,1
21.0,1.0,19.0,8.0,805.0,2013,1,1
21.0,1.0,7.0,4.0,409.0,2013,1,2
21.0,1.0,8.0,6.0,601.0,2013,1,1
22.0,1.0,10.0,10.0,1014.0,2013,1,1
22.0,1.0,16.0,22.0,2214.0,2013,1,1
22.0,1.0,17.0,13.0,1301.0,2013,1,2
22.0,1.0,17.0,4.0,406.0,2013,1,1
22.0,1.0,17.0,8.0,801.0,2013,1,1
22.0,1.0,20.0,1.0,101.0,2013,1,2
22.0,1.0,5.0,14.0,1401.0,2013,1,1
22.0,1.0,6.0,1.0,115.0,2013,1,1
22.0,1.0,7.0,5.0,502.0,2013,1,1
23.0,1.0,0.0,13.0,1301.0,2013,1,1
23.0,1.0,12.0,1.0,101.0,2013,1,3
23.0,1.0,12.0,16.0,1604.0,2013,1,1
23.0,1.0,14.0,3.0,312.0,2013,1,2
23.0,1.0,14.0,4.0,407.0,2013,1,3
23.0,1.0,16.0,1.0,108.0,2013,1,0
23.0,1.0,17.0,1.0,101.0,2013,1,1
23.0,1.0,17.0,14.0,1410.0,2013,1,1
23.0,1.0,18.0,12.0,1209.0,2013,1,3
23.0,1.0,18.0,13.0,1301.0,2013,1,0
23.0,1.0,19.0,5.0,502.0,2013,1,1
23.0,1.0,20.0,15.0,1501.0,2013,1,1
23.0,1.0,20.0,17.0,1709.0,2013,1,2
23.0,1.0,20.0,17.0,1712.0,2013,1,1
23.0,1.0,21.0,1.0,101.0,2013,1,0
24.0,1.0,0.0,17.0,1712.0,2013,1,1
24.0,1.0,0.0,19.0,1901.0,2013,1,0
24.0,1.0,0.0,20.0,2001.0,2013,1,1
24.0,1.0,1.0,16.0,1606.0,2013,1,0
24.0,1.0,12.0,22.0,2212.0,2013,1,4
24.0,1.0,15.0,13.0,1306.0,2013,1,0
24.0,1.0,15.0,2.0,207.0,2013,1,1
24.0,1.0,16.0,1.0,101.0,2013,1,1
24.0,1.0,16.0,9.0,920.0,2013,1,1
24.0,1.0,17.0,1.0,101.0,2013,1,1
24.0,1.0,17.0,20.0,2007.0,2013,1,1
24.0,1.0,19.0,14.0,1419.0,2013,1,1
24.0,1.0,21.0,1.0,108.0,2013,1,0
24.0,1.0,22.0,21.0,2101.0,2013,1,4
24.0,1.0,5.0,6.0,613.0,2013,1,1
24.0,1.0,6.0,4.0,409.0,2013,1,1
24.0,1.0,7.0,1.0,115.0,2013,1,1
24.0,1.0,8.0,1.0,101.0,2013,1,2
25.0,1.0,0.0,1.0,101.0,2013,1,1
25.0,1.0,12.0,9.0,921.0,2013,1,0
25.0,1.0,14.0,15.0,1507.0,2013,1,1
25.0,1.0,14.0,9.0,901.0,2013,1,0
25.0,1.0,16.0,15.0,1501.0,2013,1,1
25.0,1.0,16.0,16.0,1607.0,2013,1,0
25.0,1.0,18.0,1.0,101.0,2013,1,1
25.0,1.0,18.0,2.0,201.0,2013,1,1
